trip_id,start_time,end_time,headway_secs
4-I15-004-2022I15-2-1-4--4---,06:05:00,07:00:00,450
4-I15-004-2022I15-1-1-4--4---,07:00:00,07:30:00,240
4-I15-004-2022I15-2-1-4--4---,07:00:00,07:30:00,240
4-I15-004-2022I15-1-1-4--4---,07:30:00,09:30:00,210
4-I15-004-2022I15-2-1-4--4---,07:30:00,09:30:00,210
4-I15-004-2022I15-1-1-4--4---,09:30:00,11:00:00,240
4-I15-004-2022I15-2-1-4--4---,09:30:00,11:00:00,240
4-I15-004-2022I15-1-1-4--4---,11:00:00,14:00:00,300
4-I15-004-2022I15-2-1-4--4---,11:00:00,14:00:00,300
4-I15-004-2022I15-1-1-4--4---,14:00:00,16:00:00,270
4-I15-004-2022I15-2-1-4--4---,14:00:00,16:00:00,270
4-I15-004-2022I15-1-1-4--4---,16:00:00,18:00:00,300
4-I15-004-2022I15-2-1-4--4---,16:00:00,18:00:00,300
4-I15-004-2022I15-1-1-4--4---,18:00:00,20:00:00,210
4-I15-004-2022I15-2-1-4--4---,18:00:00,20:00:00,210
4-I15-004-2022I15-1-1-4--4---,20:00:00,22:00:00,300
4-I15-004-2022I15-2-1-4--4---,20:00:00,22:00:00,300
4-I15-004-2022I15-1-1-4--4---,22:00:00,24:00:00,450
4-I15-004-2022I15-2-1-4--4---,22:00:00,24:00:00,450
4-I12-005-2022I12-1-1-4--5---,00:00:00,02:00:00,600
4-I12-005-2022I12-2-1-4--5---,00:00:00,02:00:00,600
4-I12-005-2022I12-1-1-4--5---,06:05:00,07:00:00,540
4-I12-005-2022I12-2-1-4--5---,06:05:00,07:00:00,540
4-I12-005-2022I12-1-1-4--5---,07:00:00,11:00:00,480
4-I12-005-2022I12-2-1-4--5---,07:00:00,11:00:00,480
4-I12-005-2022I12-1-1-4--5---,11:00:00,22:00:00,390
4-I12-005-2022I12-2-1-4--5---,11:00:00,22:00:00,390
4-I12-005-2022I12-1-1-4--5---,22:00:00,24:00:00,450
4-I12-005-2022I12-2-1-4--5---,22:00:00,24:00:00,450
4-I13-005-2022I13-1-1-4--5---,00:00:00,02:00:00,900
4-I13-005-2022I13-2-1-4--5---,00:00:00,02:00:00,900
4-I13-005-2022I13-1-1-4--5---,06:05:00,07:00:00,540
4-I13-005-2022I13-2-1-4--5---,06:05:00,07:00:00,540
4-I13-005-2022I13-1-1-4--5---,07:00:00,11:00:00,480
4-I13-005-2022I13-2-1-4--5---,07:00:00,11:00:00,480
4-I13-005-2022I13-1-1-4--5---,11:00:00,22:00:00,390
4-I13-005-2022I13-2-1-4--5---,11:00:00,22:00:00,390
4-I13-005-2022I13-1-1-4--5---,22:00:00,24:00:00,450
4-I13-005-2022I13-2-1-4--5---,22:00:00,24:00:00,450
4-I14-005-2022I14-1-1-4--5---,00:00:00,02:00:00,900
4-I14-005-2022I14-2-1-4--5---,00:00:00,02:00:00,900
4-I14-005-2022I14-1-1-4--5---,06:05:00,07:00:00,540
4-I14-005-2022I14-2-1-4--5---,06:05:00,07:00:00,540
4-I14-005-2022I14-1-1-4--5---,07:00:00,07:30:00,270
4-I14-005-2022I14-2-1-4--5---,07:00:00,07:30:00,270
4-I14-005-2022I14-1-1-4--5---,07:30:00,09:30:00,240
4-I14-005-2022I14-2-1-4--5---,07:30:00,09:30:00,240
4-I14-005-2022I14-1-1-4--5---,09:30:00,11:00:00,300
4-I14-005-2022I14-2-1-4--5---,09:30:00,11:00:00,300
